qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join
13250,queries/stackoverflow/SQLStorm/13250.sql,15.514625,92.33813476562499,5,7
13282,queries/stackoverflow/SQLStorm/13282.sql,15.661011,158.89996337890625,5,4
13441,queries/stackoverflow/SQLStorm/13441.sql,15.821361,170.51812744140625,5,4
13448,queries/stackoverflow/SQLStorm/13448.sql,15.216247,85.51373291015625,5,5
13538,queries/stackoverflow/SQLStorm/13538.sql,15.062865,87.65582275390625,4,3
13564,queries/stackoverflow/SQLStorm/13564.sql,16.265816,161.54779052734375,5,4
13705,queries/stackoverflow/SQLStorm/13705.sql,15.690362,164.5438232421875,5,4
13800,queries/stackoverflow/SQLStorm/13800.sql,15.311548,87.8697509765625,4,4
13809,queries/stackoverflow/SQLStorm/13809.sql,15.207471,86.64794921875,5,5
13863,queries/stackoverflow/SQLStorm/13863.sql,15.241805,85.58148193359375,3,2
13872,queries/stackoverflow/SQLStorm/13872.sql,15.223986,86.6304931640625,5,5
1392,queries/stackoverflow/SQLStorm/1392.sql,15.191571,85.45684814453125,5,5
13928,queries/stackoverflow/SQLStorm/13928.sql,15.194496,89.3675537109375,5,5
13957,queries/stackoverflow/SQLStorm/13957.sql,15.060923,86.20697021484375,4,3
13960,queries/stackoverflow/SQLStorm/13960.sql,15.389682,91.3416748046875,4,4
14009,queries/stackoverflow/SQLStorm/14009.sql,15.209747,85.63458251953125,5,5
14018,queries/stackoverflow/SQLStorm/14018.sql,15.196744,89.9185791015625,5,5
14021,queries/stackoverflow/SQLStorm/14021.sql,15.190745,83.11871337890625,6,6
14039,queries/stackoverflow/SQLStorm/14039.sql,15.221905,87.16143798828125,4,3
14100,queries/stackoverflow/SQLStorm/14100.sql,15.193214,84.63128662109375,6,6
14257,queries/stackoverflow/SQLStorm/14257.sql,15.253324,86.46514892578125,5,7
14347,queries/stackoverflow/SQLStorm/14347.sql,15.16238,84.24291992187501,4,3
14378,queries/stackoverflow/SQLStorm/14378.sql,15.521509,153.66455078125,5,4
14381,queries/stackoverflow/SQLStorm/14381.sql,15.069154,88.45965576171875,5,4
14515,queries/stackoverflow/SQLStorm/14515.sql,15.072974,85.7034912109375,6,6
14517,queries/stackoverflow/SQLStorm/14517.sql,15.280011,87.1552734375,3,2
14556,queries/stackoverflow/SQLStorm/14556.sql,15.060605,88.6668701171875,4,3
14590,queries/stackoverflow/SQLStorm/14590.sql,15.654189,159.22296142578125,5,4
14616,queries/stackoverflow/SQLStorm/14616.sql,15.235512,86.70239257812499,3,3
14624,queries/stackoverflow/SQLStorm/14624.sql,15.194481,85.88403320312499,5,7
14629,queries/stackoverflow/SQLStorm/14629.sql,15.23548,86.4940185546875,5,6
14692,queries/stackoverflow/SQLStorm/14692.sql,15.248122,86.30206298828125,5,5
14739,queries/stackoverflow/SQLStorm/14739.sql,15.196348,88.32788085937501,5,5
14814,queries/stackoverflow/SQLStorm/14814.sql,15.321941,87.34014892578125,4,4
14838,queries/stackoverflow/SQLStorm/14838.sql,15.200103,92.29052734375,5,7
1724,queries/stackoverflow/SQLStorm/1724.sql,15.066154,87.00897216796875,6,6
1743,queries/stackoverflow/SQLStorm/1743.sql,15.063513,87.08862304687501,5,6
1765,queries/stackoverflow/SQLStorm/1765.sql,15.225071,86.9913330078125,3,3
1820,queries/stackoverflow/SQLStorm/1820.sql,15.05819,79.7904052734375,3,5
1955,queries/stackoverflow/SQLStorm/1955.sql,15.211476,84.70880126953125,4,4
1962,queries/stackoverflow/SQLStorm/1962.sql,15.288219,86.75537109375,4,5
1986,queries/stackoverflow/SQLStorm/1986.sql,15.07138,225.95361328125,6,7
200,queries/stackoverflow/SQLStorm/200.sql,15.16539,85.7945556640625,4,5
20027,queries/stackoverflow/SQLStorm/20027.sql,15.285297,92.04193115234376,5,5
20306,queries/stackoverflow/SQLStorm/20306.sql,15.078893,80.34790039062499,6,7
20434,queries/stackoverflow/SQLStorm/20434.sql,15.059178,90.2391357421875,5,6
20632,queries/stackoverflow/SQLStorm/20632.sql,15.190039,85.1033935546875,5,6
20680,queries/stackoverflow/SQLStorm/20680.sql,15.068079,157.1627197265625,4,3
2080,queries/stackoverflow/SQLStorm/2080.sql,15.056228,90.25714111328125,5,5
20832,queries/stackoverflow/SQLStorm/20832.sql,15.163938,85.2716064453125,6,7
21062,queries/stackoverflow/SQLStorm/21062.sql,15.174648,87.61468505859375,5,7
21109,queries/stackoverflow/SQLStorm/21109.sql,15.059111,88.17901611328125,6,7
21365,queries/stackoverflow/SQLStorm/21365.sql,15.238241,164.0914306640625,4,4
21391,queries/stackoverflow/SQLStorm/21391.sql,15.066808,88.16528320312499,7,6
