qid,query,elapsed_sec,rapl_pkg_j,n_tables,n_join,category
11139,queries/tpch/SQLStorm/11139.sql,15.05948,85.91693115234375,4,3,timeout
1115,queries/tpch/SQLStorm/1115.sql,15.072243,82.826171875,5,5,timeout
11177,queries/tpch/SQLStorm/11177.sql,15.084192,88.25433349609375,5,4,timeout
11189,queries/tpch/SQLStorm/11189.sql,15.064801,91.50708007812499,4,3,timeout
11191,queries/tpch/SQLStorm/11191.sql,15.170737,141.989990234375,5,4,timeout
11199,queries/tpch/SQLStorm/11199.sql,15.168148,182.93322753906247,4,3,timeout
1120,queries/tpch/SQLStorm/1120.sql,15.065369,83.38452148437501,6,7,timeout
11210,queries/tpch/SQLStorm/11210.sql,15.134724,187.24884033203125,4,3,timeout
11258,queries/tpch/SQLStorm/11258.sql,15.06391,91.26507568359376,4,3,timeout
1127,queries/tpch/SQLStorm/1127.sql,15.061854,89.15509033203125,6,7,timeout
11284,queries/tpch/SQLStorm/11284.sql,15.063754,89.20098876953125,4,3,timeout
11316,queries/tpch/SQLStorm/11316.sql,15.06803,89.66705322265625,4,3,timeout
11340,queries/tpch/SQLStorm/11340.sql,15.248967,244.59130859375,8,7,timeout
11360,queries/tpch/SQLStorm/11360.sql,15.065029,90.7442626953125,4,3,timeout
1137,queries/tpch/SQLStorm/1137.sql,15.060429,84.38159179687501,5,4,timeout
11403,queries/tpch/SQLStorm/11403.sql,15.06559,90.59545898437501,4,3,timeout
11421,queries/tpch/SQLStorm/11421.sql,15.262658,240.25787353515625,8,7,timeout
1144,queries/tpch/SQLStorm/1144.sql,15.144074,86.2899169921875,6,5,timeout
11453,queries/tpch/SQLStorm/11453.sql,15.06362,91.5914306640625,4,3,timeout
11466,queries/tpch/SQLStorm/11466.sql,15.117152,136.26556396484375,5,4,timeout
1147,queries/tpch/SQLStorm/1147.sql,15.054095,83.52679443359375,6,5,timeout
11475,queries/tpch/SQLStorm/11475.sql,15.065661,91.05389404296876,4,3,timeout
11485,queries/tpch/SQLStorm/11485.sql,15.072942,88.3245849609375,7,6,timeout
11496,queries/tpch/SQLStorm/11496.sql,15.06754,90.25,4,3,timeout
11502,queries/tpch/SQLStorm/11502.sql,15.115424,93.73736572265624,5,4,timeout
11507,queries/tpch/SQLStorm/11507.sql,15.081803,88.3194580078125,5,4,timeout
11523,queries/tpch/SQLStorm/11523.sql,15.117676,250.44769287109372,7,6,timeout
11530,queries/tpch/SQLStorm/11530.sql,15.170708,178.4937744140625,5,4,timeout
11558,queries/tpch/SQLStorm/11558.sql,15.064695,90.1968994140625,4,3,timeout
11562,queries/tpch/SQLStorm/11562.sql,15.13282,241.44683837890625,4,3,timeout
11566,queries/tpch/SQLStorm/11566.sql,15.156003,191.00280761718753,3,2,timeout
11570,queries/tpch/SQLStorm/11570.sql,15.170969,97.5926513671875,6,5,timeout
11571,queries/tpch/SQLStorm/11571.sql,15.088808,96.2618408203125,4,3,timeout
11573,queries/tpch/SQLStorm/11573.sql,15.065351,90.70874023437501,4,3,timeout
11575,queries/tpch/SQLStorm/11575.sql,15.095053,90.7127685546875,4,3,timeout
11650,queries/tpch/SQLStorm/11650.sql,15.064166,91.22406005859376,4,3,timeout
11666,queries/tpch/SQLStorm/11666.sql,15.062156,85.6519775390625,5,4,timeout
11686,queries/tpch/SQLStorm/11686.sql,15.083042,88.12542724609375,5,4,timeout
11709,queries/tpch/SQLStorm/11709.sql,15.083356,88.5670166015625,5,4,timeout
11714,queries/tpch/SQLStorm/11714.sql,15.074071,84.51928710937501,5,4,timeout
1172,queries/tpch/SQLStorm/1172.sql,15.156686,85.26617431640625,6,5,timeout
11741,queries/tpch/SQLStorm/11741.sql,15.065303,85.4122314453125,5,4,timeout
1181,queries/tpch/SQLStorm/1181.sql,15.29211,114.42169189453124,7,7,timeout
11813,queries/tpch/SQLStorm/11813.sql,15.253706,239.42462158203125,8,7,timeout
11816,queries/tpch/SQLStorm/11816.sql,15.067005,90.35369873046876,4,3,timeout
