timestamp_utc,run_id,pg_version,query,phase,run_index,runs,elapsed_sec,server_planning_ms,server_execution_ms,client_overhead_sec,client_user_cpu_sec,client_sys_cpu_sec,client_max_rss_kb,shared_hit_blks,shared_read_blks,shared_dirtied_blks,shared_written_blks,temp_read_blks,temp_written_blks,plan_nodes,scan_nodes,rows_out,rows_processed,rows_estimated,bytes_processed,rows_removed_filter,workers_launched,relations,failed,rapl_pkg_j,rapl_core_j,rapl_gpu_j,rapl_dram_j
2026-07-23T22:23:39Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_nation.sql,measured,1,3,0.039767,0.121,0.047,0.039599,0.002716,0.004515,7168,1,0,0,0,0,0,1,1,25,25,25,100,0,0,nation,0,0.469726562500000000,0.413818359375000000,,
2026-07-23T22:23:39Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_nation.sql,measured,2,3,0.039906,0.120,0.046,0.039740,0.001832,0.005428,7168,1,0,0,0,0,0,1,1,25,25,25,100,0,0,nation,0,0.501220703125000000,0.443908691406250000,,
2026-07-23T22:23:39Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_nation.sql,measured,3,3,0.039647,0.132,0.046,0.039469,0.000917,0.006333,7168,1,0,0,0,0,0,1,1,25,25,25,100,0,0,nation,0,0.470458984375000000,0.409179687500000000,,
2026-07-23T22:23:39Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_orders.sql,warmup,1,3,0.192664,0.176,152.528,0.039960,0.002757,0.004574,7168,4718,21377,0,0,0,0,1,1,1500000,1500000,1500101,6000000,0,0,orders,0,2.208923339843750000,1.989074707031250000,,
2026-07-23T22:23:40Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_orders.sql,warmup,2,3,0.269476,0.181,153.270,0.116025,0.001941,0.007728,7168,4750,21345,0,0,0,0,1,1,1500000,1500000,1500101,6000000,0,0,orders,0,2.184692382812500000,1.892150878906250000,,
2026-07-23T22:23:40Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_orders.sql,measured,1,3,0.255900,0.199,154.712,0.100989,0.004611,0.003674,7168,4782,21313,0,0,0,0,1,1,1500000,1500000,1500101,6000000,0,0,orders,0,2.240722656250000000,1.923583984375000000,,
2026-07-23T22:23:40Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_orders.sql,measured,2,3,0.253495,0.177,152.378,0.100940,0.004958,0.003975,7168,4814,21281,0,0,0,0,1,1,1500000,1500000,1500101,6000000,0,0,orders,0,2.199951171875000000,1.901611328125000000,,
2026-07-23T22:23:40Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_orders.sql,measured,3,3,0.243409,0.177,152.991,0.090241,0.002884,0.005743,7168,4846,21249,0,0,0,0,1,1,1500000,1500000,1500101,6000000,0,0,orders,0,2.289123535156250000,2.022949218750000000,,
2026-07-23T22:23:40Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_part.sql,warmup,1,3,0.115286,0.122,21.685,0.093479,0.003701,0.005837,7168,0,4097,0,0,0,0,1,1,200000,200000,200000,800000,0,0,part,0,0.885192871093750000,0.718383789062500000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_part.sql,warmup,2,3,0.062164,0.122,22.029,0.040013,0.003705,0.003643,7168,32,4065,0,0,0,0,1,1,200000,200000,200000,800000,0,0,part,0,0.742187500000000000,0.674316406250000000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_part.sql,measured,1,3,0.063881,0.121,21.966,0.041794,0.002153,0.005157,7168,64,4033,0,0,0,0,1,1,200000,200000,200000,800000,0,0,part,0,0.749877929687500000,0.673278808593750000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_part.sql,measured,2,3,0.061784,0.122,21.871,0.039791,0.000841,0.006499,7168,96,4001,0,0,0,0,1,1,200000,200000,200000,800000,0,0,part,0,0.715454101562500000,0.638549804687500000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_part.sql,measured,3,3,0.061995,0.122,21.922,0.039951,0.003810,0.003738,7168,128,3969,0,0,0,0,1,1,200000,200000,200000,800000,0,0,part,0,0.718933105468750000,0.645568847656250000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_partsupp.sql,warmup,1,3,0.128222,0.157,87.916,0.040149,0.001868,0.005497,7168,0,17451,0,0,0,0,1,1,800000,800000,800000,3200000,0,0,partsupp,0,1.458801269531250000,1.309692382812500000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_partsupp.sql,warmup,2,3,0.193961,0.128,88.364,0.105469,0.004593,0.004382,7168,32,17419,0,0,0,0,1,1,800000,800000,800000,3200000,0,0,partsupp,0,1.470214843750000000,1.218688964843750000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_partsupp.sql,measured,1,3,0.188155,0.128,87.648,0.100379,0.003732,0.004742,7168,64,17387,0,0,0,0,1,1,800000,800000,800000,3200000,0,0,partsupp,0,1.471435546875000000,1.229553222656250000,,
2026-07-23T22:23:41Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_partsupp.sql,measured,2,3,0.189184,0.184,88.361,0.100639,0.002068,0.006152,7168,96,17355,0,0,0,0,1,1,800000,800000,800000,3200000,0,0,partsupp,0,1.525512695312500000,1.288391113281250000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_partsupp.sql,measured,3,3,0.180642,0.127,88.358,0.092157,0.006132,0.003561,7168,128,17323,0,0,0,0,1,1,800000,800000,800000,3200000,0,0,partsupp,0,1.601135253906250000,1.367065429687500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_region.sql,warmup,1,3,0.092632,0.119,0.044,0.092469,0.002799,0.005748,7168,0,1,0,0,0,0,1,1,5,5,5,20,0,0,region,0,0.574096679687500000,0.415832519531250000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_region.sql,warmup,2,3,0.039812,0.118,0.061,0.039633,0.003811,0.003436,7168,1,0,0,0,0,0,1,1,5,5,5,20,0,0,region,0,0.447753906250000000,0.409851074218750000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_region.sql,measured,1,3,0.039822,0.140,0.044,0.039638,0.004268,0.003002,7168,1,0,0,0,0,0,1,1,5,5,5,20,0,0,region,0,0.463012695312500000,0.405700683593750000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_region.sql,measured,2,3,0.040036,0.132,0.044,0.039860,0.003199,0.004058,7168,1,0,0,0,0,0,1,1,5,5,5,20,0,0,region,0,0.476806640625000000,0.417358398437500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_region.sql,measured,3,3,0.039847,0.120,0.044,0.039683,0.002728,0.004482,7168,1,0,0,0,0,0,1,1,5,5,5,20,0,0,region,0,0.477172851562500000,0.421752929687500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_supplier.sql,warmup,1,3,0.042102,0.131,2.077,0.039894,0.003636,0.003717,7168,0,222,0,0,0,0,1,1,10000,10000,10000,40000,0,0,supplier,0,0.489440917968750000,0.434692382812500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_supplier.sql,warmup,2,3,0.041783,0.134,1.781,0.039868,0.002743,0.004598,7168,222,0,0,0,0,0,1,1,10000,10000,10000,40000,0,0,supplier,0,0.496398925781250000,0.432495117187500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_supplier.sql,measured,1,3,0.041590,0.118,1.773,0.039699,0.003643,0.003701,7168,222,0,0,0,0,0,1,1,10000,10000,10000,40000,0,0,supplier,0,0.501281738281250000,0.432861328125000000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_supplier.sql,measured,2,3,0.042184,0.127,1.789,0.040268,0.002809,0.004674,7168,222,0,0,0,0,0,1,1,10000,10000,10000,40000,0,0,supplier,0,0.529418945312500000,0.471313476562500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/00_baseline/scan_supplier.sql,measured,3,3,0.041434,0.118,1.770,0.039546,0.005096,0.002117,7168,222,0,0,0,0,0,1,1,10000,10000,10000,40000,0,0,supplier,0,0.477172851562500000,0.431030273437500000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/bitmap_scan.sql,warmup,1,3,0.200473,0.316,159.669,0.040488,0.003656,0.003704,7168,32,12179,0,0,0,0,2,2,600572,1201144,596765,2402288,0,0,lineitem;idx_lineitem_order,0,2.197814941406250000,1.974304199218750000,,
2026-07-23T22:23:42Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/bitmap_scan.sql,warmup,2,3,0.213687,0.290,120.721,0.092676,0.003881,0.004796,7168,9793,2418,0,0,0,0,2,2,600572,1201144,596765,2402288,0,0,lineitem;idx_lineitem_order,0,1.988830566406250000,1.711486816406250000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/bitmap_scan.sql,measured,1,3,0.219109,0.309,116.891,0.101909,0.002713,0.006356,7168,12211,0,0,0,0,0,2,2,600572,1201144,596765,2402288,0,0,lineitem;idx_lineitem_order,0,1.741638183593750000,1.473449707031250000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/bitmap_scan.sql,measured,2,3,0.207296,0.314,114.778,0.092204,0.007263,0.002103,7168,12211,0,0,0,0,0,2,2,600572,1201144,596765,2402288,0,0,lineitem;idx_lineitem_order,0,1.837585449218750000,1.563720703125000000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/bitmap_scan.sql,measured,3,3,0.217320,0.344,114.118,0.102858,0.003949,0.004969,7168,12211,0,0,0,0,0,2,2,600572,1201144,596765,2402288,0,0,lineitem;idx_lineitem_order,0,1.748352050781250000,1.486083984375000000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_only_scan.sql,warmup,1,3,0.147898,0.324,40.233,0.107341,0.003341,0.005459,7168,951,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,0.991882324218750000,0.800109863281250000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_only_scan.sql,warmup,2,3,0.081869,0.297,41.438,0.040134,0.004610,0.002777,7168,951,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,0.987548828125000000,0.889038085937500000,,
2026-07-23T22:23:43Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_only_scan.sql,measured,1,3,0.084408,0.299,44.036,0.040073,0.002711,0.004638,7168,951,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,1.026000976562500000,0.918090820312500000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_only_scan.sql,measured,2,3,0.084003,0.284,43.092,0.040627,0.001888,0.005633,7168,951,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,1.005859375000000000,0.907043457031250000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_only_scan.sql,measured,3,3,0.080907,0.305,40.345,0.040257,0.003764,0.003640,7168,951,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,0.956481933593750000,0.862182617187500000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_point_lookup.sql,warmup,1,3,0.040538,0.257,0.119,0.040162,0.001769,0.005669,7168,1,3,0,0,0,0,1,1,5,5,15,20,0,0,lineitem,0,0.488342285156250000,0.420959472656250000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_point_lookup.sql,warmup,2,3,0.040400,0.263,0.066,0.040071,0.001558,0.005645,7168,4,0,0,0,0,0,1,1,5,5,15,20,0,0,lineitem,0,0.469665527343750000,0.420166015625000000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_point_lookup.sql,measured,1,3,0.040366,0.237,0.065,0.040064,0.003581,0.003628,7168,4,0,0,0,0,0,1,1,5,5,15,20,0,0,lineitem,0,0.468017578125000000,0.417968750000000000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_point_lookup.sql,measured,2,3,0.040450,0.245,0.065,0.040140,0.003157,0.004009,7168,4,0,0,0,0,0,1,1,5,5,15,20,0,0,lineitem,0,0.481079101562500000,0.416503906250000000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_point_lookup.sql,measured,3,3,0.040632,0.240,0.071,0.040321,0.002413,0.004868,7168,4,0,0,0,0,0,1,1,5,5,15,20,0,0,lineitem,0,0.470581054687500000,0.422485351562500000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_scan.sql,warmup,1,3,0.133321,0.308,92.830,0.040183,0.004039,0.003164,7168,12861,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,1.506225585937500000,1.374572753906250000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_scan.sql,warmup,2,3,0.190544,0.298,92.897,0.097349,0.002805,0.005402,7168,12861,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,1.576416015625000000,1.322326660156250000,,
2026-07-23T22:23:44Z,6D409D06E4F30A3E,14.23,queries/Core/01_scan_access/index_scan.sql,measured,1,3,0.203080,0.311,97.519,0.105250,0.002956,0.005842,7168,12861,0,0,0,0,0,1,1,600572,600572,596765,2402288,0,0,lineitem,0,1.608215332031250000,1.346130371093750000,,
